UPM;NVIVI;NHOGA;AÑO;DPTO;AREA;HOMBRES;MUJERES;TOTAL;V01;V02A;V02B;V03;V04;V05;V06;V07;V07A;V08;V09;V10;V11A;V11B;V12;V13;V14A;V14B;V15;V16;V17;V18;V19;V20;V21;V21G;V23A1;V23A2;V23B;V23C1;V23C2;V2401;V2402;V2403;V2404;V2404A;V2404B;V2405;V2406;V2407;V2408;V2409;V2410;V2411;V2412;V2413;V2414;THOGAV;FACTOR;POBREZAI;POBNOPOI
89;28;1;2025;0;1;0;2;2;1;7;5;4;5;1;1;1;1;11;7;1;6;1;1;1;1;2;2;1;1; ;3000000; ;1;2500000;1;6;1;1;6;1;1;1;1;6;6;1;6;6;1;6;6;6;6;1;6;3;57;3;0
89;30;1;2025;0;1;0;4;4;1;3;2;4;5;1;1;1;2;11;7;1;6;1;1;1;1;2;2;1;1; ;2500000; ;1;500000;1;6;1;1;6;1;1;1;1;1;6;1;6;6;1;6;6;1;6;1;6;3;55;3;0
89;38;1;2025;0;1;3;3;6;1;5;3;4;5;1;1;1;2;1;2;1;1;1;1;1;1;2;2;1;1; ;3000000; ;1;2000000;1;1;1;1;6;1;1;1;1;1;6;1;6;6;1;6;1;1;1;1;1;4;54;3;0
89;39;1;2025;0;1;1;1;2;1;6;3;4;5;1;1;1;2;11;7;1;6;1;1;3;1;2;2;1;1; ;3000000; ;1;5000000;1;6;1;1;6;1;1;1;1;1;6;1;1;1;1;6;1;1;1;1;6;2;69;3;0
89;45;1;2025;0;1;1;0;1;1;7;3;4;5;1;1;1;2;1;2;1;6;1;1;1;1;2;2;1;1; ;5000000; ;1;5000000;6;6;1;1;6;1;1;1;1;6;6;1;6;1;1;6;1;1;1;1;6;1;45;3;0
89;51;1;2025;0;1;3;4;7;1;3;2;4;5;1;1;1;2;11;7;1;6;1;1;1;6;4;2;3;3; ;2000000; ;1;400000;6;6;1;1;6;1;1;1;6;1;6;1;6;6;1;6;6;6;1;6;6;4;73;2;1
89;53;1;2025;0;1;2;1;3;1;2;2;4;4;1;1;1;2;11;7;1;6;1;1;2;1;2;2;1;1; ;99999999999;99999999999;6; ;6;6;1;1;6;1;6;1;1;6;6;1;6;6;1;6;6;1;6;6;6;5;44;3;0
102;11;1;2025;0;1;1;1;2;2;2;1;4;6;6;1;1;2;11;7;1;6;1;1;1;1;4;2;4; ;2500000; ; ;6; ;1;6;1;1;6;1;1;1;1;1;6;1;6;1;1;6;1;1;6;1;6;2;113;3;0
102;27;1;2025;0;1;1;1;2;1;5;3;4;5;1;1;1;2;11;7;1;6;1;1;1;1;4;2;4; ;6300000; ; ;6; ;6;6;1;1;6;1;1;1;1;1;6;1;6;1;1;6;1;1;6;1;6;5;103;3;0
102;35;1;2025;0;1;3;2;5;1;5;4;4;5;6;1;1;2;1;2;1;1;1;1;1;1;2;2;1;1; ;4000000; ;1;380000;1;6;6; ; ;6;1;1;1;1;6;1;6;6;1;6;1;1;1;6;6;4;94;3;0
102;38;1;2025;0;1;4;0;4;2;3;2;4;5;1;1;1;2;11;7;1;6;1;1;1;1;2;2;4; ;2200000; ; ;6; ;1;6;1;1;6;6;1;1;1;1;6;1;6;6;1;6;6;1;6;1;6;5;117;3;0
102;51;1;2025;0;1;2;0;2;1;4;2;4;5;1;1;1;2;1;2;1;6;1;1;1;1;4;2;4; ;2000000; ; ;6; ;1;6;6; ; ;6;1;1;6;1;6;1;6;6;1;6;1;1;6;6;6;5;108;3;0
102;52;1;2025;0;1;1;3;4;1;4;3;4;5;4;1;1;2;11;7;1;6;1;1;1;1;2;2;1;1; ;2500000; ;6; ;1;6;1;1;6;1;1;1;1;6;6;1;6;6;1;6;1;1;1;1;6;2;103;3;0
102;53;1;2025;0;1;1;2;3;2;4;2;4;5;1;1;1;2;11;7;1;6;1;1;1;1;2;2;4; ;1200000; ; ;6; ;6;6;1;1;6;1;1;1;1;6;6;1;6;6;1;6;1;6;6;6;6;3;110;3;0
116;24;1;2025;0;1;0;4;4;2;5;3;4;5;6;1;1;2;11;7;1;6;1;1;1;1;2;2;4; ;3500000; ; ;6; ;1;1;1;1;6;6;1;1;1;1;6;1;6;6;1;6;1;6;1;1;6;3;112;3;0
116;25;1;2025;0;1;0;1;1;2;3;2;4;6;6;1;1;2;11;7;1;6;1;1;1;1;4;2;1;1; ;2800000; ;6; ;1;1;1;1;6;1;1;1;6;1;6;1;6;1;1;6;1;1;1;1;6;1;70;3;0
116;52;1;2025;0;1;2;3;5;2;2;2;4;5;6;1;1;2;1;2;1;6;1;1;1;1;2;2;4; ;1000000; ; ;6; ;6;6;1;1;6;6;1;1;1;1;6;1;6;6;1;6;6;6;6;6;6;4;125;3;0
